,순위,영화명,매출액,관객수,스크린수,감독,등급,관람객평점,네티즌평점,장르,국적,개봉일,추천,10대 비율,20대 비율,30대 비율,40대 비율,50대 비율,남성 만족도,여성 만족도,Na
1649,17681.0,에린 브로코비치,0,0,0,스티븐 소더버그,15세 관람가,관람객 평점 없음,9.08,드라마,미국, 20000504 개봉,이 영화는 20대 남성이 좋아하는 연기가 뛰어난 영화입니다.,x,x,x,x,x,8.91,9.38,
1650,17706.0,여고괴담 두번째 이야기,0,0,0,"김태용, 민규동",12세 관람가,관람객 평점 9.50점,8.23,공포,한국, 19991224 개봉,이 영화는 10대 여성이 좋아하는 연기가 뛰어난 영화입니다.,0%,83%,17%,0%,0%,7.27,8.94,
1651,17709.0,연애소설,,0,0,이한,12세 관람가,관람객 평점 없음,8.99,멜로로맨스 드라마,한국, 20020913 개봉,"이 영화는 20대 남성이 좋아하는 영상미, 스토리가 뛰어난 영화입니다.",x,x,x,x,x,9.03,8.95,
1652,17712.0,엽기적인 그녀,0,0,0,곽재용,15세 관람가,관람객 평점 9.14점,9.31,코미디 드라마 멜로로맨스,한국,20210224 재개봉  20010727 개봉,이 영화는 10대 남성이 좋아하는 스토리가 뛰어난 영화입니다.,0%,100%,0%,0%,0%,9.34,9.28,
1653,17720.0,오버 더 레인보우,,0,0,안진우,15세 관람가,관람객 평점 없음,8.97,멜로로맨스,한국, 20020517 개봉,이 영화는 20대 남성이 좋아하는 스토리가 뛰어난 영화입니다.,x,x,x,x,x,9.08,8.84,
1654,17724.0,오아시스,,0,0,이창동,청소년 관람불가,관람객 평점 8.00점,9.17,드라마,한국, 20020815 개봉,이 영화는 20대 남성이 좋아하는 연기가 뛰어난 영화입니다.,33%,67%,0%,0%,0%,9.20,9.15,
1655,17729.0,와니와 준하,0,0,0,김용균,15세 관람가,관람객 평점 9.50점,8.64,멜로로맨스 드라마,한국, 20011123 개봉,이 영화는 20대 여성이 좋아하는 영상미가 뛰어난 영화입니다.,0%,100%,0%,0%,0%,8.21,8.99,
1656,17730.0,와이키키 브라더스,0,0,0,임순례,청소년 관람불가,관람객 평점 9.50점,9.13,드라마,한국, 20011027 개봉,이 영화는 20대 남성이 좋아하는 스토리가 뛰어난 영화입니다.,0%,0%,50%,50%,0%,9.08,9.34,
1657,17732.0,와호장룡,0,0,0,이안,12세 관람가,관람객 평점 없음,8.56,액션 판타지,대만 홍콩 미국 중국,20010303 재개봉  20000819 개봉,이 영화는 30대 남성이 좋아하는 영상미가 뛰어난 영화입니다.,x,x,x,x,x,8.52,8.62,
1658,17734.0,왓 위민 원트,0,0,0,낸시 마이어스,15세 관람가,관람객 평점 없음,8.49,멜로로맨스 코미디,미국, 20010113 개봉,이 영화는 20대 남성이 좋아하는 연기가 뛰어난 영화입니다.,x,x,x,x,x,8.53,8.54,
1659,17741.0,워크 투 리멤버,0,0,0,아담 쉥크만,12세 관람가,관람객 평점 9.67점,8.76,드라마 멜로로맨스,미국,20181129 재개봉  20020621 개봉,이 영화는 10대 여성이 좋아하는 연기가 뛰어난 영화입니다.,33%,67%,0%,0%,0%,8.77,8.75,
1660,17749.0,위 워 솔저스,0,0,0,랜들 월리스,15세 관람가,관람객 평점 없음,8.29,전쟁 드라마,미국, 20020503 개봉,이 영화는 20대 남성이 좋아하는 연기가 뛰어난 영화입니다.,x,x,x,x,x,8.30,8.34,
1661,17750.0,위대한 독재자,0,0,0,찰리 채플린,전체 관람가,관람객 평점 9.33점,9.24,코미디,미국,20150416 재개봉 20021101 재개봉  1988 개봉,이 영화는 10대 남성이 좋아하는 스토리가 뛰어난 영화입니다.,3%,67%,14%,11%,6%,9.20,9.52,
1662,17771.0,이웃집 토토로,0,0,0,미야자키 하야오,전체 관람가,관람객 평점 9.52점,9.27,애니메이션 가족 판타지,일본,20190606 재개봉  20010728 개봉,이 영화는 10대 여성이 좋아하는 영상미가 뛰어난 영화입니다.,2%,29%,39%,28%,3%,9.04,9.47,
1663,17780.0,인사이더,0,0,0,마이클 만,12세 관람가,관람객 평점 없음,8.47,드라마 스릴러,미국, 20000311 개봉,"이 영화는 20대 남성이 좋아하는 스토리, 연출, 연기가 뛰어난 영화입니다.",x,x,x,x,x,8.53,8.42,
1664,17810.0,존 말코비치 되기,0,0,0,스파이크 존즈,청소년 관람불가,관람객 평점 8.67점,8.4,판타지 코미디,미국, 20000513 개봉,이 영화는 20대 여성이 좋아하는 연출이 뛰어난 영화입니다.,0%,100%,0%,0%,0%,8.20,8.77,
1665,17811.0,존 큐,0,0,0,닉 카사베츠,12세 관람가,관람객 평점 없음,8.94,드라마,미국, 20020315 개봉,이 영화는 10대 남성이 좋아하는 연기가 뛰어난 영화입니다.,x,x,x,x,x,8.96,9.00,
1666,17830.0,진주만,0,0,0,마이클 베이,12세 관람가,관람객 평점 없음,8.6,전쟁 드라마 액션 멜로로맨스,미국, 20010601 개봉,이 영화는 10대 남성이 좋아하는 연출이 뛰어난 영화입니다.,x,x,x,x,x,8.40,9.09,
1667,17832.0,집으로...,,0,0,이정향,전체 관람가,관람객 평점 10.00점,9.38,드라마 가족,한국,20190905 재개봉  20020405 개봉,이 영화는 10대 여성이 좋아하는 스토리가 뛰어난 영화입니다.,0%,29%,71%,0%,0%,9.09,9.68,
1668,17839.0,처음 만나는 자유,0,0,0,제임스 맨골드,청소년 관람불가,관람객 평점 없음,8.86,드라마,미국, 20000624 개봉,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,x,x,x,x,x,8.41,9.22,
1669,17844.0,철도원,0,0,0,후루하타 야스오,전체 관람가,관람객 평점 9.00점,8.59,드라마 판타지,일본,20150204 재개봉  20000204 개봉,이 영화는 20대 남성이 좋아하는 영상미가 뛰어난 영화입니다.,5%,50%,23%,9%,14%,8.68,8.45,
1670,17853.0,초콜릿,0,0,0,라세 할스트롬,12세 관람가,관람객 평점 없음,8.91,드라마 멜로로맨스,영국 미국, 20010224 개봉,이 영화는 20대 여성이 좋아하는 스토리가 뛰어난 영화입니다.,x,x,x,x,x,8.39,9.19,
1671,17858.0,취화선,,0,0,임권택,청소년 관람불가,관람객 평점 없음,8.73,드라마,한국, 20020510 개봉,"이 영화는 20대 남성이 좋아하는 연출, 연기가 뛰어난 영화입니다.",x,x,x,x,x,8.72,8.85,
1672,17859.0,치킨 런,0,0,0,"피터 로드, 닉 파크",전체 관람가,관람객 평점 없음,8.7,애니메이션 가족 코미디,영국, 20001216 개봉,이 영화는 10대 남성이 좋아하는 스토리가 뛰어난 영화입니다.,x,x,x,x,x,8.77,8.70,
1673,17860.0,친구,0,0,0,곽경택,청소년 관람불가,관람객 평점 없음,8.63,범죄 액션 드라마,한국, 20010331 개봉,이 영화는 20대 남성이 좋아하는 연기가 뛰어난 영화입니다.,x,x,x,x,x,8.67,8.61,
1674,17869.0,캐스트 어웨이,0,0,0,로버트 저메키스,12세 관람가,관람객 평점 없음,9.4,드라마 모험,미국, 20010203 개봉,이 영화는 20대 남성이 좋아하는 연기가 뛰어난 영화입니다.,x,x,x,x,x,9.39,9.46,
1675,17882.0,코요테 어글리,0,0,0,데이빗 맥낼리,15세 관람가,관람객 평점 없음,8.84,코미디 드라마 멜로로맨스,미국, 20000930 개봉,이 영화는 10대 여성이 좋아하는 OST가 뛰어난 영화입니다.,x,x,x,x,x,8.66,9.09,
