영화명,평점리뷰
사랑할 때 이야기하는 것들,이런영화를 좋아하고 공감하고 이해하는 사람을 만나고 싶다..우리는 얼마나 많은 좋은영화를 놓치고 사는가정말 현실적인 어른들의 사랑 영화.그래서 보는 내내 한 구석이 아픈 영화.왜 흥행하지 못했을까.이 영화..묻히기엔 너무 너무 아깝다..이런 영화의 진면을 알지 못하는 이세대...참 안타깝다..별 1000(X1000)개는 주고 싶은 마음..그리고..한석규란 배우와 동시대에 살고 있다는게 얼마나 어마어마한 축복인...아니 한석규 김지수 주연의 멜로영화를 왜 이제야 알았는지 싶네요. 두배우의 연기만으로도 그냥 먹고들어가는데 작품성도 참 좋네요 강추합니다.개봉 당시 외화들을 중심으로 영화제목을 길게 작명하는 것이 유행이었죠. 더군다나 포스터도 시시껄렁한 로맨틱코미디로 오인받기 좋은 참담한 수준이었고요. 꼭꼭 숨어있는 수작입니다. 오랜만에 다시보아도 참 잘 만들었네요....수작이다 디테일도좋았고 오버스럽지않고 덤덤하고한석규 김지수 케미도 좋았다 지루하지않고 캐릭터설정도 굳 이런류의 분위기는 한석규가 갑이다왜 흥행을 못했는지 이해가 안간다너무 현실적이라서 슬프다..혈연(가족)때문에 인연(배우자)을 맞아들이지 못하는 서글픔.
우리의 20세기,"관람객 <우리의 20세기>가 아니라 <20세기 여성들>, 잊지 못할 사람들요즘 좋은영화 많이 만나네..약간 어렵고 난해할수 있지만, 생각하게 하고 깨닫게 하는..여운도 남는다인생은 절대 마음처럼 흘러가지 않아.내가 정말 1979년에 살고 있는 듯한 ㅠㅠ 뭉클한 감동까지.. 영상미도 너무 좋다작은 연대가 주는 힘, 아날로그 시대를 살았던 세대가 디지털 시대를 살아가는 세대에게 들려주는 따뜻한 이야기20세기에 보내는 감독의 애정이 고스란히 느껴진다관람객 제목 20세기의 여성 그대로 해도 좋았을듯. 그땐 서툴러도 서로를 이해하려 노력했네.신나지도 않지만 지루하지도 않은 인생이야기...내맘대로 되면 어디 그게 인생인가.관람객 인생이란 거대하고 알 수 없는 것행복한가를 따지는 그 순간부터 우울해지는 거라는 말, 너무 와닿았네요. 어느하나 주인공 아닌 사람이 없었던 영화. 툭툭 내뱉는 대사 하나하나가 너무 멋졌습니다. 다시 보고 싶은 영화에요."
판의 미로 - 오필리아와 세 개의 열쇠,빌어먹을 배급사가 애들영화로 홍보만 안했어도...애들용 판타지 아니다. 그거 아니라고 생각하고보면 개명작현실적 판타지입니다. 전쟁의 참혹함 속에서 어린 소녀가 현실이 아닌 꿈꿀 수 밖에 없는 냉혹함과 슬픔이 묻어납니다. 판타지의 공식과 참혹한 프랑코 독재정권의 상황이 기묘하고 잔인하고 슬프게 엮어져 나갑니다. 부디 그...개봉당시 아동용 판타지로 홍보했다가 욕만 먹은 대표적인 홍보 미스의 예. 내용만 보면 18세 관람가여도 이상하지 않을 정도로 어둡고 현실적이다.지금까지 내가 본 영화들 중 가장 감명깊었던 영화 순위에 top3에 꼽히는 명작.한쪽 면만을 보지 말고 다양한 시각에서 접근하며 감상해야 영화의 진가를 알 수 있는 작품입니다.시간이 지나니 제대로 평가를 받아가는구나 해리포터같은 환타지인줄 알고 낚여서보고 멘붕온관중들 평점테러로 6점도 안나왔었는데... 평생본 중 가장 감명깊은 영화중 하나다.동화라는 희망으로 극복하려하는 또 다른 비극의 동화오필리아는 지하세계의 공주였다고 믿고싶다홍보때문에 말아먹은 대표적인 예.. 애초에 15세이용가 아닌가..재미있다기보단 뭔가 보고나면 찡한영화였음비극적인 결말에서 오필리아가 지하세계에서 공주가 되었다는 해피한 결말로 소화시켰던 점이 최고였다 잔혹한 현실을 순수한 어린이들의 상상속에 판타지와 결합시킨 영화 어른들은 스릴넘치는 액션물만 보지말고 이런 영화도 봐야...
살아남은 아이,"최무성은 진짜 연기 잘한다.한줄평 : 살아. 남은아이김여진의 연기는 올해 흉작인 한국 영화 사이에서 군계일학.이런 게 영화다 상류 머시기 그딴 허접 보지 마라앞부분을 보면서는 다르덴형제의 아들이랑 뭐가 다른가? 다르덴 형제에게 영향을 많이 받았구나! 생각했다. 끝까지 끌고 가는 감독의 끈질김에 감동했다. 김여진이 아들의 죽음의 진실을 알고 걸어가는 뒷모습 연기는 최고였...영화를 보고 난 직후에는 마지막이 다소 아쉬웠지만곰곰히 생각해보면 그 마지막이 최선이지 않았을까 싶다. 그 어느쪽으로도 결론을 낼수 없는.. 그들의 시간은 그렇게 각자의 방식대로 흘러가겠지.기억속에 잔잔히 오래 ...고구마 백개 먹은 느낌 . 그나마 양심있는 애는 부모도 없으니 죽일라 하고 그짓말하는 나쁜것들한텐 암것도 못하고 짜증나네많은생각을 하게 만든영화...앞으로 이런 깊이있는 영화가 자주 나왔으면 합니다.해외에서도 인정받구...정치,양아치,깡패 영화말구....잘봤습니다관람객 눈으로 묘하게 보이던 기현이의 죄책감을 마지막 돌로써 표현을 해준 게 인상적이었어요. 당신들에게 지은 죄와, 함께 지내며 받은 따뜻함에 쌓였던 돌들이지만 결국 돌들을 빼내주는 것도 그들인 아이러니.어찌나 마른 성유빈이라.. 현실 고딩역으로 딱! 이고, 말라서 더 불쌍해보였고 연기를 넘잘해서 더욱 애처로워보였음."
구스범스,"보다가 틈틈히 피식 웃게 되는 영화. 엉성한 부분이 있지만서도 재밌게 볼 수 있다. 챔피언과 스타인의 개그가 의외로 좋았다.관람객 보는내내 웃으면서 봄ㅋㅋㅋ재밌었어오~관람객 잭블랙 캐릭터 짱짱 ㅠㅠ 캐릭터들이 판타지스럽고 좋다 ㅋㅋ 이런 영화 넘 좋아관람객 현대판 주만지 전개가빠르고 재밌어요!ㅈㄴ 재밌는데 ㅋㅋㅋ 아니 진짜 재밌어서 웃는 걸 왜 ㅋㅋㅋ 금지라는거여 ㅡㅡ 여튼 졸잼관람객 심장이 쫄깃한 영화. 판타지보다는 공포였다ㅠ기대 많이 안 하고 봤는데 웃음 나오는 장면이 꽤 있네요ㅋㅋ 재밌어요관람객 골치아픈 생각잊고 신나게 즐기는게 하는덴 최고 인듯! 역시 잭블랙 짱.,슬래피 너무 때리고 싶다 얄미운 짜슥관람객 처음부터 스릴러인가?코미디인가? 마지막까지 긴장감있어요!!재밌게 밨네요"
오블리비언,"재주는 49번이 부리고 돈은 52번이 벌었다.너무 그러지 마쇼, 어차피 은밀하게 위대하게는 국내 독점이지만 해외 나가서는 쓰레기 취급 받으니까헐리우드 영화는 끝없이 진보를 거듭하고 한국영화는 조폭, 양아치 소재의 영화로 OOO.처럼 끝없이 추락하고.오빌리비언; (오)랜만에 만난 걸작! (블)록버스터! (리)얼한 미래지구의 생생한 묘사와 상상력을 잘 버무려져서 (비)범한 천재감독이 맞춤형 명품 배우 탐크루즈를 선발대로 잘 만든 (언)빌라블한 영화! 캬~ 오늘같은...영화 끝나고 자꾸 생각나는 영화..지구의 종말에 대해 다시금 돌이켜보게되며만약 오블리비언처럼 된다면 무섭다는 생각이 든다.재미가 없다고 하는애들은 머리가 나빠서 이해를 못하거나 아니면 예고편만 보고 화끈한 SF몰인줄 알고 눈호강 할려다가 실망한 애들이나 재미 없다고들 하지..이게 재미없으면 도데체 뭐가 잼있다는건지..퍼시픽림이나 처봐...OST가 좋아서 가산점. 두 여주인공이 예뻐서 추가점.지인이 재미없다고 해서 기대안하고 봤는데 쩔어버린 영화정말 숨겨진 명작중에 명작. 괜히 톰크루즈가 나온 영화가아니다.. 바닐라스카이 이후.. 또 한번 여운이 가시는 영화.. 정말 재미있게 봤다..마지막나오는 딸애를 왜 다시 재회해서 만든 아이라고들만 생각할까...60년전 이미 애생기고 가수면으로 있다가 나온거라는생각은 안드나..."
정글 크루즈,"관람객 디즈니의 영화는 기본이상은 한다관람객 무조건 보세요. 조금 유치하고 기시감 들고 기발하진 않지만 스토리에 빠져들어 보세요. 특히 우울하거나 슬픈 사람은 꼭 보세요. 잠시 현실에서 빠져 나오도록 돕는 영화입니다. 어린아이의 마음으로 즐기다보면 주인...관람객 에밀리블런트 사랑해,, 사람스러움의 끝ㅠㅠ 4DX로 보면 더 재밌을 듯관람객 간만에 너무 괜찮은 영화특히 영상미가 오진다..관람객 와 진짜 액션이랑 스케일 쩐다 드웨인 존슨은 걍 말해뭐해고 에밀리도 하...둘이 케미도 장난 아님ㅠ0ㅠ 투디로 봣는데 주말에 아맥이나 포디 갈겨야겟음4DX로 꼭 보세요!! 후회 안할겁니다!관람객 역시 믿고보는 여름강자 더락형님ㅠㅠㅠ관람객 80년대 구니스 감성에 PC가 살짝 양념으로 뿌려졌음~~시사회로 봤는데 존잼ㅋㅋㅋ 드웨인존슨 넘 좋고 에밀리도 넘 좋고ㅋㅋㅋㅋ관람객 재미있게 봤어요"
무지개 여신,"비가 와야 볼 수 있는 무지개처럼 슬픈 사랑도 끝난 뒤에야 볼 수 있다대학시절과청춘을이토록그립게만들수있을까슬프다여기 나오는 여주인공이 너무 매력있음 ...딱 내가 원하는 나의모습임 ...근데 현실은요......................완전 재밌다! 까지는 아니더라도.. 보고나서 여운이 잔잔하게 남는듯한 느낌이였어요., 우에노쥬리의 연기도 좋고, 음악도 좋고, 영상도 보기 좋았어요.남주가 짜증나는것보다는 너무 눈치없는 연기를 잘해서 소름돋았고 아오이 마지막 편지에서 뭉클하더라 일본영화보면 아쉬운점이 지루함인데 지루하면서? 뭔가 아련한느낌이 계속남았다 10점준이유는 난 영화는 한번보면 더 이상 ...내 인생 최고의 멜로, 보면 볼수록 새롭다내가 가장 사랑하는 일본 영화중 하나아오이 유우 웃는 모습만 기억에 남는다.남자세끼 눈치 더럽게 없네아 이건 정말 너무 가슴 절절함;; 시간이 지나도 사라지지 않는 감정이 남아버리는 영화 우에노주리가 연기한 여자가 아직도 내 가슴안에 남아있음"
아메리칸 싸이코,"ㅋㅋㅋㅋㅋ 크리스찬 베일 베드씬에서 거울보고 지모습에 도취하는 장면은 정말 ㅋㅋㅋ패트릭같은 또라이들이 참 많은데,,, 패트릭만한 비주얼은 도대체 어디에.......사람들의 허례허식과 욕망을 잘 비판한 영화. 역시 크리스찬 베일의 연기는 훌륭하다.ㅋㅋ 누가 열린 결말 제발 닫아달라고 했는데 공감임내 명함보다 더 좋으면 죽.는.다.우비입고 춤추는거 빵터진다 ㅋㅋㅋㅋ대단한연기다....!자기자신에 대한 과도한 집착, 타인에 대한 지나친 무관심. 그것은 현대 사회가 품고 있는 고질적인 병폐이다. 메세지 전달은 분명하나, 스토리의 모호성으로 뭔가 뒷맛이 찝찝하다. 모호한 이 느낌, 그래서 재밌었다고 말...전기톱 장면에서 진짜 싸이코를 보았다상류층만의 문제는 아닌ㅇㅇ........ 크리스찬 베일 연기 쩔 b"
불량 공주 모모코,"유치찬란하지만 너무 재미있다.행복해지기 위해선 용기를 내야 한다는 말이 머릿속에서 떠나질 않는다..너무재밌다. 이런 버라이어티적인 일본식 개그 너무 좋더라.너무 재밌다. 이치고의 말들이 내 마음에 비수를 꽂았고, 모모코는 너무 이쁘다. 물론 이치고도 이쁘다. 너무 아름다운 영화다.2005년도에도 재미있게 봐서 소장하고 있는데 지금 10년만에 봐도 너무 재미있다 귀엽고 발랄하고 사랑스럽고 엉뚱하지만 재미있는 영화지루하고 유치하단 기억만이 남아있던 영화었는데 시간이 지나 다시보니 참 좋다.. 갠적으로 자아성장보단 여자들간의 우정이 좀더 훈훈하고 인상깊었다내인생 최고의 일본영화틀린게 아냐 조금 다를뿐이야라고 약주는 약빤의사 너무 매력잇다ㅋㅋㅋ불안에 안주하는것보다 행복을 손에쥐는것을 더 두려워한다라는 말이 참 공감갔던 영화. 행복을위해선 변화를 두려워해선 안된다라는 묵직한 메시지를 유쾌하게 풀어낸영화! 더불어 어른되기 싫어하는 피터팬증후군 두친구의 우...이거 겁네 웃김. 안보면 손해에요!!!"
레드카펫,"재밌습니다 ~ 가벼운듯하지만 생각을 할수있고 무겁지않게 중간중간 웃음코드도많고 감동도있고 배우분들 다 연기도 잘하시고 재밌게잘봤어요 ~코믹물로 재밌을거라고만 생각했는데 뜻하지 못한 감독이 퐉 ㅠㅠ 청춘들을 위한 영화로 추천!친구들끼리 보면 딱 좋은 영화! 오정세 대사가 대박임재미있어요. 웃다가울다가...감동도있고 레드카펫 대박나세요.진짜 웃겨!!!! 요즘 이런 영화가 딱인듯!!오랜만에 본 영화였는데 너무 즐거운 시간이었어요.이미도씨도 너무 매력있고 ㅎㅎㅎㅎ많이 웃고왔네요 ㅋㅋ웃음과 감동을 함께 주는 영화입니다.주연들의 연기도 좋지만 조연들 연기가 개인적으로 좀더 좋았던 영화입니다.^^감동적이었어요~~ 야하고 웃긴영활줄알았는데,. 눈물찔끔거리면서 봤네요 ㅎㅎㅋㅋㅋ웃겼음!!윤계상과 고준희 썩 어울림...ㅋ일단 에로영화 제작이라는 컨셉 자체가 확 튀니까~~ ㅋㅋㅋ관람객 최고최고최고최고최고"
서약,"아직 보지못한 영화지만 현재 제 애인도 혼수상태 120일을 넘어가고 있는데 그냥 깨어나서 저를 기억해주길 간절히 바라는 마음입니다. 그때 여자친구와 함께 보고 싶네요.평점이 너무아쉽네 .. 정말 별10개줘도 안아까울 로맨스영화다 .. 마지막에 잔잔한게 뭔가 남는게 와 .. 이런게 정말 사랑아닌가 싶다. 볼까 말까 망설이시는분 꼭 한번보세요 로맨스영화 많이봤는데 정말 색다르네요 정...남자가 참 대단한것 같다.ㅠㅠ..에휴 이런사랑 어찌하누진짜 재밌던데 평점되게낮네 ㅋㅋ남자들은 이런영화안좋아해서 그런가그녀가 기억을 찾지 못하고 화낼때 레오의 표정을 잊을 수 없다 ㅠㅠ 그녀는 기억을 다시 찾지 못했지만 다시 사랑에 빠진 둘은 진정한 인연이 아니었을까진정으로 다가가는 사람에게는 누구든 끌리지 않으랴.. 충분히 자신에게 돌아올 수 있게만드는 빌미가 있었음에도 오직 그녀의 행복만을 위해 진심으로 다가가는 모습이 정말 아름답다.영화 재밌었어요멜로영화가 스릴러영화처럼 속도감있게 진행되는 것이 영화에 몰입하는데 어려움을 주지만 나쁜 영화는 아니라고 생각한다.기자,평론가 평점에 그다지 동의는 하지 않는다.레이첼 맥아담스는 언제봐도 예쁘다 ㄷㄷ10점은 아닌데 10점을 주고 싶게 만드네요. 이런 사랑 하고 싶습니다."
크리스마스 캐롤,"많이 낮은 듯 ㅠㅜㅜㅜ 교훈도 있고 괜찮은 영화였는데 ㅜㅜㅜㅜ은근 공포영화....많은 생각을 ...내지난 날들을 돌아보게하는 좋은영화예요 차분하게 혼자 보시는거 추천해요배우들 목소리 연기도 대단했고ㅠㅠ캐릭터가 배우들이랑 닮았떠라구요 ㅎ그래서더 재밌게봤습니다..ㅠㅠㅠ역시 명작답게 많은 교훈얻고 ㅠㅠㅠㅠ가족들이랑 꼭 같이보길 메리크리스마스~ ㅎㅎ이런느낌 좋네요이런애니는 정말 만점 줘야합니다. 교훈도 있고, 장면하나하나가 정말 세심하게 만들었더라고요~ 참으로 많은걸 깨닫게 해주는 영화입니다.오늘 EBS에서 봤었는데, 진작 볼껄 후회가 되네요~ㅎㅎ생각하게 만들어요정말 좋은 영화였습니다. 목소리와 표정이 실제 연기자들보다 더 좋았어요.정말 교훈도 많고 화려한 장면들 많아 시간 가는 줄도 몰랐어요. 저는 이 영화를 보고 크리스마스의 의미를 알게 되었어요. 10점을 줘도 모자라는 영화이네요.이런거 별점깎는사람들 뭡미까.. 누가봐도 만점인데"
아이스 에이지 4: 대륙 이동설,"고대 다람쥐의 도토리에서 시작되었다라는 대륙이동설,,,재밌었습니다...그래픽도 좋구요..재미있고3보단재미없어도은근꿀잼락앤롤이라고해서 점수를 잘주고, 발라드라고해서 점수를 덜줘선 안된다.한장면 한장면이 정말 깨알같다는 표현을 하고싶다. 10점이다.스토리 탄탄. 재미 탄탄. 뭐하나 빠진 것 없었음. 특히 새로운 대륙이동설을 보게 되어 참신했음. 다음편을 다시금 무지무지 기대만듬.^^아줌마 코로 물마시면 코딱지맛이나요?그다음 기대도토리 한톨(집착 다람쥐)로 시작된 대륙이동설...?뻔하고 과장된 내용일지라도...귀여운 캐릭터들 덕분에 좀 볼만...물,얼음,과일 기타 등등...배경들이 진짜처럼 정말 리얼...스크라틀란티스(?)에 빵 터짐 ㅋㅋㅋ...재미있는데 평점이 왜 다들 낮으신지.,.ㅋㅋ근데 아이스 에이지 5는 안나오나..?!나왔으면~다음편 뭔지 기대된다ㅋㅋㅋㅋ아주 아주 재미있습니다."
마루 밑 아리에티,"아줌마맘에안드네집에 있다보면 가끔 머리삔이나 볼펜같은 것들을 잃어버리는데 그걸 집에 사는 소인이 빌려쓰고 있다는 생각을 하면 정말 아름다운 작품입니다.아리에티는 살아남았고, 쇼우는 살아갈 희망을 얻었다.끝이 아쉽다고 하시는데 너무 해피엔딩으로 끝나는걸 좋아하시는것 같음...여운도 남고 스토리 자체도 재밌고 한시간 반이 어떻게 가는줄 모를정도로 몰입해서 봤는데ㅋ자연, 유년시절, 몽환적인 분위기, 아스라질듯 섬세한 소년의 감성이 느껴지는 예쁜 애니메이션. 몇 번을 봐도 좋네요.다 좋은데 주인공 쇼 보면서 답답해 미칠 것 같은 건 나만 그런가? 최소한 '아줌마는 오늘 부로 해고예요.' 소리 정도는 할 수 있지 않냐? 그 아줌마 마음 같아서는 당장 뒷통수라도 한 대 갈기고 싶...정말 재밌게 본 기억이 나는데... 생각보다 평점이 낮아서 놀랐어요. OST도 너무 좋았는데...쇼우가 그런 독설을 내뱉은 이유는 자기 자신이 얼마 가지 않아 죽을 거라고 생각했기 때문이다. 즉, 미래가 불투명한 소인족의 모습에서 수술을 앞둔 자신의 모습을 투영해본 격. 이런 것 하나도 해석하지 못하면서 쇼우 ...잔잔고 따뜻한, 그야말로 인형의 집 같은 영화역시 지브리스튜디오네요.재밌게 봤습니다"
나의 PS 파트너,"내가 지금까지 본 로맨틱코메디 영화중에 최고.. 김아중과 지성 매력의 새로운 발견. 너무 현실적이어서 감정이입이 너무 잘되었던 영화.아 대박!크게 기대안하고 봤는데, 로맨틱코미디물을 잘 즐겨보지 않는 내가 감히 울나라 로맨틱코미디중엔 최고이고 외화까지 포함해선 다섯손가락 안에 드는 영화라고 말할 수 있음! 진짜 짱짱!!!야한장면만 스킵하면서 봐야지 했다가 처음부터 끝까지 두세번을 본 영화. 아래가 촉촉해 지는 영화가 아니라 가슴이 촉촉해 지는 영화.결혼식에서의 에피소드만 빼면 모든게 현실적이다김아중이 청첩장 주러 왔다고 어색한 표정지을때지성눈빛 ... 그리고 신소율에게 미안하다고 말하는 지성눈빛 ... 지성의 연기가 너무 좋았다다시봐도~유쾌한 섹시~감성 멜로^^아주~적절한 캐스팅~신해철 나올때 뭔가 뭉클했음머릿속에서 오랫동안 그리워하던 과거 여자친구를 현실로 다시보니 과거의 열정이 살아나지 않아서 정리해버린 슬픈 스토리 ㅜㅜ최고의 영화!오늘부로 김아중 팬이다 진심 이영화 진짜 재밌게본듯.. 그냥 아무생각없이틀었다가 푹빠졌던영화.. 뻔하다는사람도있지만 나같이 빠져서본사람도 많을것이다 ^섹스어필 없어도 충분히 통햇을 영화인데, 오히려 야한 장면만 부각되고 영화 자체는 저평가되는 것 같아서 아쉽다.."
댄 인 러브,"남주가 연민이 드는 배역으로 잘 나오는 듯...정말 재미있게 잘봤다. 이런 분위기의 작품을 정말 좋아한다.전형적이어도 난 이런 영화가 넘 좋다 행복해지는 느낌!잔잔하지만 보는 내내 재미있는 수작 로맨틱 코미디이런 영화가 많이 나왔으면 ㅠㅠ간만에 맘 편히 잠들어요 ㅠㅠ물론 줄리엣 비노쉬가 이쁘긴 하지만 갑자기 에밀리 블런트를 들이대냐?ㅋ 반칙아님??스티브 카렐 사랑해요. 우울할때 나를 위로해주는 배우1위 그의 눈빛 말투 웃음소리 시선 표정 너무 좋다. 마지막에 코찡.그냥.. 보세요 영화좋아요코믹, 힐링. 그런데 가족 모임이 무슨 동아리 엠티간 것 같아. ^.^난 이런 영화 너무 좋타!!무공해같은영화 보고또바여"
내안의 그놈,내안의 그놈이 낫다 공감 vs 말모이가 낫다 비공감보는내내 빵빵터지네.ㅋㅋㅋ진영 연기 너무잘하고 너무재밌게봤음아무생각 없이 보러갔다가 정말 미친듯이 웃고 나왔어요! ㅋㅋㅋ 약간 웃음이 줄어들 때 쯤 박성웅님 나와서 진짜 미친듯이 도 웃겨주세요 ㅋㅋㅋ 아 그리고 진영님 정말 잘생기셨어요...생각지 못한. 진영의 연기력 + 박성웅 연기력 +조연들의 연기력 콜라보. 그중의 갑은 요소요소 마다 빵빵 터지는 이준혁님의 연기력당신은 신으로 인정합니다요즘 아이돌들 연기에 물올랐네아형에서 보고 배우분들 성격도 좋고 호흡이 참 잘 맞는다는생각이 들었어요..영화도 포텐터지길 응원할게요~!!기대 안하고 어제 봤는데 완전 꿀잼 ㅋㅋㅋ시사때 보고왔는데 진영이 연기 너무 잘하더라고요! 그리고 박성웅은ㅋㅋㅋㅋ 왜이렇게 웃긴지ㅋㅋㅋㅋ 정말 빵빵터졌네요진영 연기 잘해요 보는내내 계속 웃었네요ㅋㅋㅋ 시사 보고왔는데 웃다가 뿜을뻔
미스터 노바디,"이거 누가 들여왔냐? 진심으로 배급사에 감사하다과거를 후회하며 미래를 포기하는 이들에게 큰 도움이 될 좋은영화.영상도 좋았지만 음악이 너무 좋네요 복잡한 줄거리 따라갈려고 애쓰지말고 편안한 맘으로 다 보시고나면 나름 느끼는게 있어요^^""인생은 B(Birth)와 D(Death) 사이에 C(Choice)다"" 라는 말이 너무 잘 어울리는 영화였습니다. 영화에서 답을 찾으려 하면 영화가 어려울 것이고, 느껴지는대로 받아들이면 메세지가 많은...나비효과 보다 흥미롭진 않지만...그보다 훨씬더 훌륭하다...이 영화가 말하고 싶은건.. 인생 어느 순간에 있건 행복한걸 잊지마라..아니 행복해라...라고 말해준다...엔딩음악이 너무 행복했던내생애 최고의 영화......인생을 살아가다보면 수많은 선택지가 놓여진다. 답은 무엇인가? 가장 가치있는 삶? 내가 선택하는 모든 선택이 답이다. 내가 원하는 삶..내가 살고있는 모든 삶이 나의 존재이다.선택은 나의 의지이나, 그 결과는 의지일수 없고, 그럼에도 행복은 나의 의지이니, 뒤늦게 선택하지 않은 것에 미련을 둘 필요는 없다. 그냥 선택은 선택일뿐.오잉 재개봉한건가요? 몇년전에 본 영화인데 감명깊게 봤었음..소장하고싶은영화. 악플을달수없는영화. 기억하고싶은영화. 100점도 아깝지않은 영화.더많은사람들이 보지못해안타까운 영화.배급사에 감사한영화이렇게 까지 기대하지 않았는데 정말 대단하네요. 감독이 정말 천재인 것 같단 생각이 들었고 제 삶의 선택에 대해서 그리고 그 선택에 대한 제 생각을 정리 하게 만드네요. 정말 배급사에 진심으로 감사해요.^^"
신은 죽지 않았다 2,"예수님은 종교가 아닙니다. 생명입니다.God is not dead. He is surely alive!기독교인이 아닌데도.. 감명깊게 봤어요~ 종교영화라고 편견을 가졌는데 종교영화라기보다 긴장감 넘치는 법정드라마네요! 실화라고 하니 더 몰입해서 보고왔습니다~~신은 죽지 않았다. 내 믿음이 잠시 죽었었을뿐... 영화를 통해 다시 살아난 믿음. God is good.실제로 지금 우리나라에서도 이슈화되고 있는 문제를 다뤄서 그런지 더 공감하며 본 것 같아요. 분명히 고민해볼만한 주제..!! 다들 영화를 보고 고민해보셨으면 합니다.주님의 실재하심과 역사하심을 믿습니다! 크리스찬 모두가 꼭 보아야 할 웰메이드 가스펠 무비!! 엔딩 크레딧 끝까지 보세요. 추가 영상 있어요~♡기독교 영화이지만, 교회를 다니든 ,안 다니든 보시면 여러가지 관점에서 많은 생각을 할수 있는 좋은 영화입니다 ^^ 추천합니다난 법정드라마더쿠라 재밌든데 'ㅅ' 긴장감최고 b오늘 보고 왔어요. 말이 필요 없어요. 꼭 보세요! 1편보다 더 재밌고 감동적임.ㅠ완전 꼭 한번 보셔야 하는 영화.~~!!!꼭보세요~강추"
타임 패러독스,"수많은 사람들이 스포일러를 하고 싶어서 미쳐 날뛰고 있다.절대 리뷰를 보지말고, 댓글을 읽지말고, 스포일러 당하기전에 봐라. 돈아깝단 생각은 안들거다.절대 리뷰 보지 말것 절대 리뷰 보지 말것절대 리뷰 보지 말것절대 리뷰 보지 말것절대 리뷰 보지 말것절대 리뷰 보지 말것절대 리뷰 보지 말것절대 리뷰 보지 말것절대 리뷰 보지 말것절대 리뷰 보지 말것절대 리뷰 보지 ...우와 대박 ㅋㅋㅋ반전 끝인줄 알았는데 마지막 ㅋㅋㅋㅋ 우왕 대박 간만에 재미진거 봤어요이거 안보신분들? 영화에 대한 정보 아무것도 찾지말고 그냥 보세요관람객 첫번째반전:에????두번째반전:에에????마지막반전:으에에에엥????영화의 스토리라인을 잘 잡아놔서 반전을 예측하는데 큰 어려움이 없었습니다. 하지만 모든내용이 딱딱맞아 떨어지는 까닭에 재밌게 볼 수 있었습니다! 강...반전에 놀란 마음 진정되면 다음 반전이 시작되는!! 아, 다시 한번 더 봐야겠어요!!아쉬운건 제목과 포스터 뿐이었다. 3번의 반전...이라는 문구만 보지 않았더라면...더 재미있게 영화 그대로를 느낄 수 있었을텐데 싶다. 영화를 재미있게 보려면 포스터도 보지말고, 평점도 믿지말고영화를 보라.관람객 방금 봤는데요..아나 기대안했는데 '미친'... 이말만 연속해서 하게됩니다. 아직도 속울렁거리는 영화...와웈자신을 사랑하지 않는다면 인류의 불행은 결코 종식되지 않는다관람객 it'll blow your mind."
원 데이,"세월을 거슬러 올라간 마지막 장면이 가슴 시리게하네요엠마는 덱스터를 사람답게 해주고, 덱스터는 엠마를 행복하게 했다.순수한 한 여자가 한 남자를 사람만들고 남자가 사람되면 여자는 떠나가는.진부하지만, 추억으로 덮기엔 후회가 큰.. 그래서 슬픈 사랑이야기. 연기와 영상미가 좋아서 몰입도가 높다.진짜 해피 엔딩만 남았다고 생각하는데 한방 먹임개인적인 입장에서 봤을 때 엠마의 일반 통행인 사랑이 아니었다는게 내 입장. 덱스터는 언제나 엠마를 사랑한다고 느껴졌던 영화진짜 덱스터가 방황했던 시간들을 보면서도 왠지 덱스의 진짜 마음은 엠마에게 가 있는것 같다고 느꼈는데 마지막 시간을 거슬렀던 장면을 보면서 진짜 처음부터 서로 좋아하고 있었구나... 새드로 안끝났으면 더 좋았을듯....남자는 기댈 여자를 찾나보다. 그런데 멀리 있지 않다고... 지금 당신 옆에 있는 그녀에게 사랑하고 기대세요나에겐 가장 의미있는 영화 평가하고 자시고 할것없이 완벽하다영화를 단순히 영화로 보기에 아름답고 짠하다처음부터 좋은친구 보단 연인이었다.20년간 고생하는 엠마(자매품 : 500일간 고생하는 톰)"
컬러풀 웨딩즈,"ㅋㅋㅋ 프랑스 애들 말빨 장난아니당.. ㅋㅋ유머들이 재미있고 자막을 특히 잼께 잘 쓴 것 같음. 잼난 코미디 영화였어용~관람객 끝날때까지 웃음나는 영화였어요.^^지루하지않아요.끝날때쯤엔 모든주인공들이 사랑스럽더라구요.영화 보면서 엄청 웃었네요.이 코미디 강력추천합니다.이거 진짜 빵빵 터지네요 ㅎㅎ 이거 부모님들 보여드려도 좋을 것 같네요 ㅋㅋ 완전 오랜만에 빵빵 터지는 외화를 본 것 같네요! 강추!!진짜 간만에 제대로된 코믹물이에요ㅋㅋ강추합니다!!이런 골때리는 가족이라니ㅋㅋㅋ영민하게 꿰어놓은 수작 코미디! 증발하는 웃음이 아니라 여운이 긴 웃음이라 더 좋다~~~~진짜 너무 웃겨 ㅋㅋ 언터처블 이후의 최고의 코믹영화가 진짜 맞네 ㅋㅋㅋ강추 강추!!! 정말 재밌습니다. ^^날씨도 별로라 조조타임 봤는데, 아침부터 배꼽 빠지는 줄 알았네요. 허니잼!!!"
