영화명,평점리뷰
작은 아씨들,"관람객 왜 여성은 사랑을 해야하냐며 말하면서도 사랑을 받고 싶다고 외치던 장면이 너무나 울컥했다 ㅜ 조 꽃길만 걷길~관람객 철없는 막내로만 재현되어왔던 에이미 캐릭터의 재발견. 어쩌면 자매 중에서 제일 고민이 많고 영리했을 여성으로.재밌다고 느끼면 추천을 아니다 비추천“자매를 미워하기엔 인생이 너무 짧아.“ 라는 명대사가 내 마음 속에 강하게 들어왔다.조가 여자의 전부가 사랑이라는 말이 지긋지긋하지만 너무 외롭다는 말이 공감이 간다. 무기력해지는 자신을 보며 슬퍼하는 걸 보니,나를 보는것 같아 더 슬펐다.관람객 스포일러가 포함된 감상평입니다. 감상평 보기영화를 보고 나니 조를 응원하는 내 자신을 발견했다. 잔잔한 감동과 재미가 있는 영화.'우리의 어린시절이 끝이났다니 믿겨지지 않아.'격렬하고도 잔잔한 따뜻했던 가족이야기.관람객 영화보다가 나도 모르게 계속 눈물이 나더라.조에 입혀진 나를 만나고, 아직 갈팡질팡한 나에게 조는 말해주는 것 같았어요관람객 엠마왓슨 진짜 존예.. 영화 너무 사랑스럽고 이뻐요..,"
코요테 어글리,"몇 번을 봐도 기분 좋아지는 영화^^! 등장인물 한명 한명 매력 터지는♡ 스토리, OST, 인물 뭐하나 모자람없는 청춘이면 꼭 봐야할 로맨틱 청춘영화!두번 세번 보고도 자꾸자꾸 보고싶고 노래도 너무 좋은... 정말 좋았던영화처음 고1때봤던 영화.최근까지 15번 본 영화.어릴때 넘 잼께 봐서 지금보면 예전 나의대한 향수가 느껴져 기분좋아지는 영화 .. 요즘 10대들은 뻔하고 잼없다 할수는 있겠지만 30대인 나에겐 명작으로 기억되는..영...뻔하지만 좋다어줍잖은 평론은 필요없다.그냥 tv틀어놓고 즐기면 된다.아쉬웠던게 여주가 혼자 작곡할때 부른 노래가 무대에서 부른거보다 훨씬 좋았다는거세월이 많이 흘러서 봤는데도... 재미는 그대로군 ^^꿀꿀할때보면 기분 좋아지는 영화 ^ ^OST가 기가막힌 영화, 클럽에서의 첫 공연장면이 짜릿함영화 10점~ OST 10점~ 파이퍼 페라보 10점~"
에이미,"그녀의 아픈 모습도 그녀다.관람객 에이미는 음악을 누구보다 순수하게 사랑했고 사랑을 갈망했던 한사람이었다관람객 남자를 잘 만나야한다ㅠㅜ관람객 보는 내내 가슴이 넘 아팠고 그녀를 진정으로 사랑해주지 않고 벼랑으로 내몬 이들이 역겨웠다에이미를 구글링 해보면 마약 복용기사 또는 술집에서 싸움 이나 죽음이 마약 과다 복용또는 이런 것밖에 없다 하지만 이번 다큐 영화를 보면 그녀가 왜 마약을 접하게되고 어떠한 생활을 했기에 생을일찍 마감하게됬는지 이해...관람객 두시간동안 푹 빠져보았답니다.약하디 약한 그녀가 세상을 버티기 위했던 재능관람객 영화보는 보고난 후 먹먹하다 계속관람객 너무 아쉽고 마음아픈 이야기, 정말 감명깊게 봤어요!!강력추천노래를 아는게 없으니...관람객 시작부터 통곡하고 싶었다."
트럼보,"첨에는 신념의 믿음과 가치를 이야기하는 줄 알았는데 신념의 공존에 관한 이야기였다관람객 스토리, 연기, 모두가 완벽자유의 소중함을 또 폭력의 위험성을 보여준다. 타의의 강요에 의해 숨어 살아야만 하는 천재와 가족의 고난. 마침내 찾은 이름과 자유. 우리 실정에 많은걸 시사했다.개봉관이 적은 이유가 참 궁금해지는군..ㅎ아카데미 남우주연상 후보는 역시 아무나 되는게 아니구나. 트럼보 연기 대박무난한 각색과 전개. 훌륭한 연기. 현재에도 반복될 수 있는 어두운 역사에 대한 경고이자 그 역사를 견뎌야 할 모두를 위한 격려관람객 그후로 60여년이 지난 2016년에도 매카시같은 인간들이 득시글거리는 씁쓸한 대한민국...수십 년 전 미국을 배경으로 하는 영화지만, 2016년을 살아가고 있는 우리들에게도 큰 울림을 전하는 이야기. 배우들의 연기는 완벽함 그 자체.감동적이었다. 가혹한 시대를 견뎌냈던 문화인으로서,동시에 가장으로서 마지막에 했던 연설이 참으로 속깊게 느껴졌다.연령간 세대간을 불문하고, 이 시대에 꼭 필요한 영화라고 생각합니다! 모두들 투표하러가기 전에 이 영화 꼭 보세요!!"
극장판 도라에몽:진구의 남극 꽁꽁 대모험,관람객 도라에몽다운 영화였어요. 정말 유쾌하고 신 났어요. 도라에몽 주머니 갖고 싶네요.에몽이 울먹거리는거 너무 귀여웠고 재미있었어요미리 보고왔습니다. 역시 실망시키지 않은 도라에몽 이네요아주 아주 마음에 듭니다.관람객 애들이랑 너무 재밌게 봤어요.관람객 완전 굿~너무 잼났네요^^재밌었어요좋아요지추천해요관람객 초등1학년 아들이 엄청잼났다고 가짜 도라에몽 나올 때 진짜 도라에몽이 불쌍했다고^^관람객 다시 볼 만 한 도라에몽 극장판~~제가 본 도라에몽 극장판 중 최고였어요. 요즘 더운데 여름 더위가 확 가시네요.
"스탠바이, 웬디","줄거리 진짜 뭐갘게 써놨네줄거리 쓴 놈이 이 영화 최고의 빌런줄거리 좀 고쳐주세요...쉬는날 맘편하게 볼 거 찾다가 이거 본건데 진짜 위로받음 이 영화 보고 운거 나 하나? 보물 같은 영화 같다 피트 개귀염살아갈 동력을 잃어버린 사람들에게모두 내가 한 발짝 내딛기 전까지는 불가능이란 말을 하지 말아주세요.관람객 병으로 치부하기보다는 너만의 세상이 있는 거라고 더 들어주고 하고싶은 게 있다면 마음껏 해보라고 지켜봐줄수있는건데... 왜 난 말로만 이해한다고 했는지... 생각보다 주위에 이런사람이 많다.. 내가 마음으로 이해할 ...영화는 정말 좋은데 줄거리 수정 안 되나.. 팜플렛에도 ""댕댕이도 지리는""이라면서 저 줄거리 그대로 써놨던데 누가 썼는지 몰라도 너무 별로임관람객 억지로 울리는 영화가 아니다. 영화는 날 울릴 생각이 없는데 내가 혼자 울컥해 울고 있다ㅠㅠ 자폐증 환자에 대해 과도하지 않고 잔잔하게 풀어내고 있고 어느새 웬디와 함께 걷고 있다. 여운 엄청납니다ㅠㅜ줄거리 저거 실화냐 진짜 무슨 영화를 다른 영화로 만들어놨네"
배트맨,다크나이트의 조커도 좋지만 난 이쪽 조커가 진짜 조커같다.배트맨 하면 그냥 마이클키튼임.조커가 이상한 음악에맞춰 그림을망치던 장면은 잊을수없네여 베이컨그림은 맘에든다며 남겨둔것도ㅋㅋㅋ 캬 명장면이져겨기서 팀버튼이랑 놀른을 비교하는 ㅂㅅ들은 뭐지? 만화 원작을 완벽하게 옮겨노은 영화다... 놀른이랑은 스탈이 틀립니다광기에 익살스러움까지 더한 조커.배트맨을 팀 버튼 감독만의 감각으로 코믹 만화책과 흡사하게 재현하다.몇 번을 봐도 음악이며 팀 버튼이 창조한 고담시는 정감있고 재밌네요팀 버튼 특유의 위트와 잔혹동화스타일. 그리고 잭 니콜슨의 미친 연기력.개인적으로 놀란것이 더 좋지만... 그렇다고 팀버튼이 꿇리는건 아니다. 스타일이 다른거지 절대 두 작품 모두 우열을 가릴 순 없다초딩들 자꾸 다크나이트랑 비교하는데 나는 아직도 팀버튼 배트맨을 잊을수가 없다. 비긴즈 텀블러 나왔을때도 저딴게 다있어? 할 정도로 였다. 팀버튼의 영화를 지금 봐도 어색하지 않을정도로 너무 잘만들었다 1989년도면...잭 니콜슨은 조커 그 자체다. 앞으로도 영원히 이 배트맨을 능가하는 배트맨을 나오지 않을 것이다.
바스켓볼 다이어리,"디카프리오, 끝십점처음준다.미쳤다.진심미쳤다.이렇게빠져본건첨.어떻게 그나이에 그얼굴에 그런연기가.. 신이 만든배우구나..진심미췬... 어떻게 사람이 연길 저렇게함? 저나이에???? 아놔.. 레오..볼수록 완벽한..ㅠㅠㅠㅠ 사랑해!!! 진짜 영화 ... 물론 내 나이가 보긴.. 좀 그런장면들은 있었지만.. 그런건 skip해주면 되고.....레오나르도의 연기는 정말 일품.. 마약은 정말무섭구나..누가 중독자의 헛소리를 믿어줄까...디카프리오. 어린나이에 저런 연기를 ... 거리의 수 많은 마약쟁이들이 이걸보고 깨우치길... 애처에 시작하지말길!디카프리오 연기에 소름이 끼쳤다.. 어린나이에 이렇게 연기를 하다니...레오나르도 아니였다면 소화못햇을 영화 미친 연기력 ㅠㅠ 진짜 연기 너무 잘하더라.. 연기땜에 7점 준다. 외모도 끝내줌디카프리오 연기는 정말 최고다. 그리고 결말도 너무 좋고.디카프리오는 망가져도 잘생겼구나 하는 생각까지!리뷰말대로 마약끈을때 연기 너무 잘함...실제로정말해본사람처럼,,,너무훌륭하다..."
패트리어트 - 늪 속의 여우,"미국 찬양영화라고 까는 인간들은 우리나라에서 만주 독립전투 영화를 찍는데. 독립군이 나와서 ""일본 만세!""를 외쳐야 정상이냐?미국만세라고 혹평하는 사람도 있는데...참내ㅡㅡ미국독립혁명 이야기니낀 미국만세라고 해야지 그럼 영국만세라고 하냐? 멜깁슨이 주연으로 하는 영화는 시간도 아깝지 않아ㅋㅋㅋ미국뽕을 만땅으로 맞은 영화지만 그걸 이 영화에 문제로보기엔 너무 잘만들었다는것. 채널돌리다가 다른채널로 돌릴수없는 그런영화. 말이 필요없지오랜만에 정말 대작 영화를 본듯. 평점 9점이 안넘는게 신기하다미국놈들 욕할게아니다 진짜 잘되는 이유가 있는거같음. 어렸을때부터 입대하게해달라고 떼쓰고 군대 안가려고 OO병 걸린 놈들 천진데 옜날부터 저런 의식이 자리잡힌 나라였다 미국은시간가는 줄 모르고 영화내용에 집중할 수 있다면 그게 바로 명작이지 않을까... 항상 느끼던 바 연기력의 급이 다르다!!말없던 막내딸이 말타고 가는 아빠를 쫓아가며 제발 가지말라고 울먹일때 아빠가 말에서 내려 부둥켜 안아주는 모습에 나도 눈물나더라 갠적으로 최고의 명장면중에 하나...성조기 휘날리며~멜깁슨의 존재감이란 대단한 배우시다미국 영화에서 미국 만세를 하는데 왜 한국놈들이 OO이냐. 싫으면 보지를 말던가. 한국 놈들이 그런소리하면 안웃기냐? 미국이 독립시키주고, 경제원조 시켜주고, 안보까지 지켜줬는데도 광우뼝 반미 시위나 하는 것들이...."
믿음의 승부,"내 인생을 송두리째 바꾸어버린 영화, 정말로.. 내가 변한 영화교인이 아니라도 볼만한 영화. 참고로 실화를 바탕으로 해서 더 감동이다.베리굳짱임 ㅠㅠ꼭 기독교 영화라고 품질이 떨어지는건 아니잖아요?? 이 영화는 아는 사람만이 그 뜻과 재미를 느낄수 있는 것입니다. 사랑합니다 주님.소장 가치가 있는 영화!!!!!!!!!!!!재미있다!!!좋은 영화입니다.기독교인이라면 꼭 봐야할 영화.With God All Things are Possible."
빅풋 주니어,아이랑 봤는데 너무 좋아하네요 ㅋㅋ 저도 기쁘고 좋아요 꿀잼!드디어 개봉~!!!역시 기대를 저버리지 않네요~!!애들이 재미있어 하네요~!!강력 추천 드립니다~!!관람객 아이들이 눈물까지 흘렸네요~초4 너무 재밌게 봤어요. 아이가 더 좋아하네요오늘 개봉했길래 평점 3개 밖에 없을때 예약했는데 잼있네요 볼만하고 교훈도 있고~ 5살 딸애가 또 보고 싶대요고퀄이네여 잼께 봤어요관람객 후속편이 정말 기대됩니다관람객 7살 5살이랑 재미있게 봤어요^^관람객 애들이 너무너무 재밌다네요 감동적이었다공~^^관람객 혼자라서 외로운게 아니라 내가 남과 다르다고 생각했을때 외로운것 같아요.. 자녀들을 이해하고픈 부모님들에게도 강추!!!
계춘할망,"관람객 평생 내편.. 할머니의 사랑은 영원하다.오랜안에 울어본 영화 진부할수 도 있는걸 잘푼듯 윤여정 연기갑에 김고은도 잘 녹아듬 김고은이랑민호나오면 청춘물관람객 윤여정 인생연기. 마음 따뜻해지는 영화. 추천관람객 어머니랑 보고 왔는데 정말 가슴 따뜻해지는 영화였네요시사회장이 물바다가 되었다.. 손녀의 모든 흠을 다 받아줄만큼 깊이 패인 계춘할망 윤여정의 주름. 기자들이 그녀의 대표작이 될거라 할만하다. 곱고 섬세한 김고은의 연기.. 세대를 초월한 두 여배우의 케미가 폭발한다....관람객 최근 본영화 중 가장 따뜻한 한국영화네요. 가족끼리 한번 더 봐야 겠어요~ 가족끼리 다 같이 보면 참 좋은 영화네요. 영화에 감사합니다.관람객 마음이 따뜻해지는 영화, 배우 윤여정씨의 연기력이 감동적입니다. 꼭보세요올 한해 윤여정은 아무도 못 이긴다.관람객 진짜 10점도 모자른다. 요즘 영화들 너무 잔인하고 유혈낭자해서 힘들고 지치고 피곤했는데 뭔가 위로받고 치유받는 느낌이네요 너무 많이 울어서 힘들었지만 후련했어요 많이들 우시더라고요 잘봤습니다.곡성에 밀리지마라! 너무좋은 작품이에요! 평점을 남기게 하다니 지루할거같고 재미없을거같아 안보시는 분들 후회합니다 꼭 보셔야해요! 윤여정씨연기력은 따따따봉 대단하세요 평가할수없을만큼! 감사합니다 좋은 영화보게해쥬셔서..."
타마코 러브 스토리,"쿄애니의 연출이 타마코 마켓의 달달한 러브라인을 훌륭하게 그려냈다. 표정으로 읽을 수나 있을법한 감정들을 2D캐릭터로 이렇게나 잘 표현한것에 찬사를 표한다.관람객 원작을 안봤음에도 이해할 수 있도록 잘 만들어졌습니다. 음악도 전체적으로 너무 좋았고 뭐 하나 부족한게 없었습니다.TV판에서는 미처 다 보지 못한 청춘 남녀의 풋풋한 사랑을 느껴보시길!!!흔히 있는 로맨스 스토리, 그리고 예고편 봐도 뻔한 전개 하지만 여기서 쿄애니가 손을 되면 마법이 부린것처럼 훌륭한 작품이 되는것을 뼈저리게 느꼈습니다. 2d로 사람의 감정을 이렇게 까지연출을 하다니.. 존경합니다....관람객 어쩌다보니 보게 됐는데 옛날에 그 풋풋했던 시절을 생각나게합니다ㅎㅎ 웬만한 배우와 영화도 하기힘든일을 애니메이션이 해냈어요 다시 봤습니다관람객 끝에서 뭔가 울컥했다(나만그런가?)관람객 일상코미디 잼있음 풋풋한 사랑이야기사스가 쿄애니 ㅋㅋ 굳 믿고보는 애니영화가 나까지 두근거리게 만듬.. 아 달달하다.. 사랑이 하고싶다관람객 너무 이쁜영화입니다! 보는내내 미소나오구요 심장아프더라구요"
스테이션 7,"재밌기만 하구만 뭘ㅋㅋ 알바놈땨문에 8점 줄거 10점박고간다픽션이 아니라서 더 마음이 울리는 영화화면빨로만 팔아먹는 미국영화랑 달리 심리묘사도 뛰어나고 스토리도 재밌었다. 마지막 실제영상 나오는 것 까지 꼭 보고 나오세요웬만한 우주영화라고 생각하고 영화를 끝내려는 순간, 실화라는 것이 새삼 너무 충격적으로 다가와서 계속 곱씹게 된다. 쉽사리 평가하기엔 너무 위대한 역사다.러시아 영화에 대한 편견은 이 영화로 모두 사라졌다. 막판까지 엄청 두근거리네요! 올 연말엔 스테이션7 으로 행복해졌습니다. 추천!관람객 인간은 정말 우주만큼이나 신비라고 놀라운 존재다!관람객 러시아 다운 느낌이라 해야되나 감정적인 장면은 최대한 절제하면서 메인 스토리에 집중해서 좋았음실감나고 아릇한 배경의 우주 ""실화가 주는 잔잔한 감동의 물결불가능은 없다! 그들은 위대하다!"
10분,"평점이 없길래 볼까말까하다가 내가 마루타가 되보자는 식으로 봤는데돈주고 볼만한 영화였다. 현실적이고 공감이 많이 가는 영화라직장인이나 취준생에게 추천하고싶다.무엇보다 감독의 경험을 바탕으로 만든 영화라, 스토리에 허...이것이 현실이다. 잘 살렸어요.보다 울컥했음 ㅠㅠ철새들....별 기대 없었는데 의외로 재밌게봄먼데까지 찾아가서 본 보람이 있는 영화. 잘 만들었다. 꽤 재미도 있었다!자신의 과오는 어떻게든 부하 직원에게 떠 넘기기는 태도에서 정말 공감했다100% 공감! ""네 일만 잘하면 돼""하면서도 나중에 뒤통수치는 거... 내가 매일매일 겪는 일. '내정자'가 있음에도 불구하고 '혹시나'하는 마음에 지원서 들이미는 것도 ...그냥 fact 그 자체이다. 첫 직장 생활에서 성실했던 나의 20대는 새벽공기와 싸늘한 밤공기를 마시며 기계적으로 생활했던 그때 그 시절이 생각난다. 가슴깊이 묻어둔 꿈이 생각나서 더욱 더 먹먹하다. 좋은 작품 감사...공감도 많이 되지만 엔딩이 참 대단했다.훈련 상황이지만, 아무도 호찬에게 대피하라고 말하지 않는다.결국 사회는 아무도 도와주지 않은 세상이라는 것을 표현...어쩔 수 없다’라는 말은 아마 누군가를 희생하게 하고 이해를 강요당한다."
족벌 두 신문 이야기,"관람객 영화의 방대함과 디테일함에 놀랐습니다. 아마 전하고 싶었던 말들이 더 많지 않았을까 싶습니다. 이런 영화 만들어주셔서 넘 감사드립니다. 널리 많이 배포되고 감상되길 바랍니다.관람객 자본으로부터, 정부의 영향력으로부터, 독립된 언론기관이 언론의 역할을 지속할 수 있기를 바랍니다. 화도나고 속도상하고 눈물이 저도모르게 나네요 ㅡ..관람객 누가 거대한 언론기업을 이렇게 신랄하게 비판할수있을까?? 이성적이고 논리적인 판단이 가능한 관객들이 꼭 보고 사실을 아셨으면 좋겠다. 가디언즈나 워싱턴포스트는 가족에게 세습하지 않는다.극우들의 별점테러가 이어지고 있다. 깨어있는 사람이라면 무조건 보라. 우리나라에 뿌리내린 극우언론들의 실상. 왜 우리나라 기자들이 기레기라 불리우는지 여기에 모든게 담겨있다관람객 다큐멘터리가 이렇게 재미 있다니. 시간 가는 줄 모른다. 그리고 언론개혁.관람객 언론의 역할은 공정성이라 생각합니다. 족벌화 권력화 재벌화 되어있는 왜곡된 미디어는 대한민국 미래에 걸림돌입니다. 과오에 대해 평가없이 지나온 정치, 언론, 재벌의 역사가 반복을 불러오고 있습니다. 정의를 위한 바른...관람객 족벌신문에대해 출생부터 100여년의 과정을 정확하게 볼수 있다. 권력에 봉사하다가 권력이 되어가는.관람객 현실을 깊이있게 알게 됐습니다문제의식을 갖고 깨시민이 될 수 있도록 하는 영화였습니다 감사합니다조선, 동아가 없어지는 날이 대한민국의 진정한 광복이다.관람객 국딩때 국사교과서에 일본이 저 둘을 강제폐간시켰다고 배웠는데.. 그래도 그건 믿고 있던 내가 한심스러울 정도. 한국 < 적폐언론 < ??? 이라는 순서로 권력을 어떻게 쥐게 되었는지에 대한 두 신문사의 이..."
탑건,"와~이게 1987년작~나 5살때 개봉된 영화.. 지금 21세기에 봐도 전혀 안어색해~~연출..ost 모두10점 만점에 10점~와 캐전율 ~ 세기의 명화다~탐크루즈 발킬머의 리즈 시절을 볼수있는 영화.. 여자들 보면 ...톰크루즈가 실제로 전투기를 조종했다는것 만으로도 10점거지같은 CG의 알투비보다 이게 훨 명작입니다..이거하고 스토리는 쫌 후달리지만 공중전 최강 스텔스도 한번보세요어째서 요즘 시대에조차 이런영화가 나오지않냐../톰크루즈+레이밴 선글라스,+항공점퍼=한 시대의 아이콘.대체 이게 왜 청소년 관람 불가...?음향만 아니면 옛날 영화 아닌 듯... 톰 크루주 앳된 모습이 참...진짜 어떻게 이게 87년작인지 , 요즘 나온 비행기영화들보다 훨씬 스타일리쉬하고 박진감 넘치고 재밌게 봤습니다.주제곡이 갑.. 테잇미 브렛 어웨이..정말 소름끼친다!"
다크 워터스,"영화관에 나 혼자만 있다는 현실이 더 무섭다엄기영 앵커 보신분들은 공감어느 누가 거대기업과 권력에 맞써 약자들을 위해 이렇게까지 헌신할 수 있을까.. 진짜 지금 우리나라에 꼭 필요한 이야기였다.. 마크 러팔로의 진중한 연기도 감동.중국 우한발 폐렴도 잊지맙시다실화라는 사실이 진짜 대박,,믿고보는 캐스팅에 배우들 연기도 진짜 최고였음. 이런영화가 널리알려져야함 진짜로ㅠㅠ관람객 보는내내 집에 있는 프라이팬만 생각남ㅋㅋㅋ 다 갖다 버리고 다시 사야겠어보자마자 가습기 사건 떠올랐다..관람객 이 영화 아니였으면 이런 사건도 있었는지 모르고 지나갈뻔 했네ㅋㅋㅋㅋ 많이들 봐라 꼭관람객 듀폰이 배상금 8천억원을 토해내서 다행이면서도 이것도 적다는 생각이 들어서 속이 탄다ㅜㅜ영화보고 나서 프라이팬, 에어프라이어 다시 보니 너무 무섭더라구요. 실화라 그런지 공포영화보다 무섭네요.. 가습기 살균제 문제도 생각나고, 기업들이 꼭 보아야 할 영화!"
더티 댄싱 - 하바나 나이트,"굳이 많은 생각을 할필요 없이, 내 마음을 두근거리게 해준 영화쿠바가 이렇게 열정적이었나? 두 배우가 춤추는거 정말 매력적이다 황홀해....열정적이고 나까지 춤추고 싶게 만드는 영화! 주인공도 너무 매력적보는내내가슴떨림아직도 내 가슴 속에서는 두 주인공의 열정적인 춤이 남아있다자꾸흥헐거리고명장면돌려보게되네요 두사람이 너무 잘어울려요이 영화를 보고 남미에대한 꿈을 가졌죠!! 꼭!! 가볼겁니다 !!내용 자체는 별로였지만 매력적인 주인공과 배경과 춤과 노래가 너무 좋았다.두 주인공 다 매력있네요.디에고의 미소에 녹았다.주인공,음악과 댄스 Fantastic!!"
아일랜드,레전드다. 이걸 2005년에 본 사람들은 얼마나경악했겠는가.정말 잘 봤고 2005년에 저런걸 만들수있다는게너무 너무 신기하고 재밌었다인간 복제가 가능하는 미래에 장기때문에 죽는 복제인간도 하나의 인간이라는걸 서술한듯 싶다.100점 영화..흑인이 난동부릴때 겁나 무서웟으뮤ㅠ10점주려고 로그인함 ㅋㅋ이건... 그 짧은 시간안에 어떻게 그런 많은 내용을 넣을 수 있는지.. 감탄..잊을 수 없는 영화. 내 생에 가장 위대한 영화라고 생각함. 정말 많은걸 보았지만..오늘 과학선생님이 학교에서 보여주신 영화인데 재밌 네요^^마이클 베이 감독 대단하다..2005년에 만들어지다니?? 믿기지 않을 정도로 대박!!@@기억에 오래 되새겨질 영화네요..
미라클 벨리에,"관람객 그냥 보세요.... 화려한 액션도 좋고 대작도 좋지만, 가끔은 이렇게 작지만 따듯한 영화도 잔잔하니 좋네요~~~보고 감동받은 장면이 '비상' 이라는 노랠 부르는데 못듣는 아빠, 엄마, 동생을 위해 수화 하며 부르는 그 장면... 잊지 못한다. 학교내에 듀엣공연 하는데 못듣는 가족분위기의 모습으로 바뀌면서 아무것...우리나라 영화 감독들이 배워야할 영화. 저 예산과 억지스럽지 않은 드라마 전개로도 충분히 사람들을 극장으로 불러들일 수 있다.부모도 자식도 분리하는 법을 배워가는 것. 정신의 탯줄을 잘라내는 아픔과 함께 찬란하게 태어나는 두번째 삶.시사회에서 봤는데 아직도 여주인공의 아름다운 노래선율이 흥얼거려지네요. 실화에 바탕을 두고 있어서인지 최근 본 영화중 재미와 감동 최고! <빌리 엘리엇> <원스> 팬이라면 강추!그래, 이래야 가족이지! 그래, 이래서 가족이다.오전에 조조로 봄~~강추합니다..! 눈물찔끔..공감가는 내용이라 감동이 있어요개봉하기만을 기다려 조조로 보고왔어요 ! 하루에 몇번 안해서 속상해요 ㅠ 완전 강추 !!! 한번 더 보려구요 !!!시사회로 봤는데 가족들 다 보여줄거에요! 너무 좋아요ㅠㅠ관람객 실화라는 말에 줄거리도 보지않고 관람했는데 전혀 지루하지 않고 유머도 있고 음악도 더해져 더욱 감동적이였다. 이런 영화는 더 흥행했어야 하는데 아쉬울따름ㅜㅜ"
메멘토,"크리스토퍼 놀란은 천재다내용을 이해했다면 재미있었을 것이고, 이해하지 못했다면 지루할 뿐이다...나만그런거아니죠?처음인셉션후 크리스토퍼놀란영화에 관심이가져서,찾아본결과, 메멘토추천하에 보게됐음, 처음시작하고약10분동안 이거뭐지?뭘말하려는거지?젠장 이해가안돼네?이러다가 마지막10분쯤에, 이야~대박!이리간단한걸 이...참신한 전개 구조와 놀란 감독의 천재성이 드러나는 연출력이 물씬 담긴 웰메이드 스릴러.전개만 보자면 산만하지만, 결국 이야기는 주인공이 그토록 신용하지 않았던 기억의 재구성이 된다.진실은 찾기 어렵고 받아들이긴 더 어렵다. 기억은 그 사이의 합리화다.관람객 흑백화면이 컬러화면으로 바뀔때의 그 짜릿함.천재적이다. 처음보는 전개방식이 너무나 흥미로웠음편집이란 무엇인가의 진수를 보여준 영화. 반전은 더 끔찍하다.크리스토퍼 놀란 감독의 영화 중 단연 최고의 작품이라 봐도 무방.영화의 전개 방식,각본,연출 등 모두 훌륭하다.인간의 기억에 관해 이렇게 풀어낼 수 있다니 놀라울 뿐."
라스베가스를 떠나며,"OO와 알콜중독자의 사랑이야기. 이 영화의 모든걸 말해주는 대사.. ""난 그 사람을 있는 그대로 받아들였다.""술병을 선물하는 세라는 정말 멋진 여자다. 사랑할줄 아는여자. I accepted him.니콜라스 케이지는 이런역할에 진짜 어울린다벤과 함께 같이 취해가는듯한 영화 크레딧이 올라가고 술이깻을때 미친듯이 우울했다.'술꾼의 품격'이란 책에서 이 영화를 읽다. 있는 모습 그대로 사랑하기-사랑은 속박하는 것이 결코 아니다. 상대를 위한다는 명분속에 얼마나 많은 불편과 폭력이 상재되어 있는지. 현명하다면 영화처럼 극한...my one and only love상대방에게 기대하는게 아니라 그 사람을 있는 그대로 받아들이는게 과연 사랑이 아닐까 생각해본다. 동종업계에 일해본 사람으로써 마음이 짠해지고 여운이 많은 영화일것 같다.사랑을 모르는 사람은 지루할수밖에.. 내 생애 최고의 영화...소장하고 있는 영화중 하나,,,알콜중독자에게 술병을 선물로 건네주는 장면에선 정말,, 술마시고 보면 하염없이 눈물이 나오는 영화이상하게 겉은 멀쩡한데 가슴속은 미친듯이 울고 있다..."
제5원소,"평점이 왜이렇게 낮지....액션이랑 세계관이랑 캐스팅도 엄청 좋아서 재미있게 봤는데....쩝..디지털 리마스터링인가요?예술적임. 굉장한 영화임. 다시 개봉해도 볼 영화임.밀라요보비치가 정말 배역이랑 잘 어울렸음젊은 시절의 미라요보비치와 브루스 윌리스를 볼수있다. 세계관이 매력적인 영화TV 에서 할 때마다 보는 영화. 미묘한 끌림. 이번에도 끌림에 본다.뤽베송이 초등학교 때 생각했던 스토리 를 영화로 만든거랍니다 .. 참 대단합니다후대에 길이길이 남을 영화임머리카락있는 브루스윌리스라서 좋다게리 올드만~~ 진짜 레옹하고 5원소 악역 연기는 지금 봐도 소름 돋네제 5원소는 사랑, ...."
라이어 라이어,영화를 캐리하는 짐캐리!짐캐리..그가 찰리채플린과 함께 이시대 최고의 희극 배우이자 전설임을 보여주는 영화왜 짐 캐리라는지 아는 영화공포의 갈고리를 할 줄 아는 사람과 결혼하고 싶다덤앤더머보다 더 웃기다!!뻔한데 행복하다 ㅎ마지막 NG장면 보여준 것도 너무 재밌었다 ㅋㅋㅋ 천상배우 - 짐 캐리 !짐캐리땜에 봤지만 약간 판타지스러운 내용과 억지아닌 감동이 가볍게 보기 좋았다.! 살면서 아무렇지 않게 하는 거짓말에 대해 다시한번 생각해보게되는 영화.일때문에 가정에 소홀한 가장들을 신랄하게 비판하는 동시에 매우 유쾌하게 묘사했다신캐리
아멜리에,"고독이 꼭 슬퍼야만하는건 아니죠너무 사랑스러운 영화 ㅎ감정을 어찌할 줄 몰라서 계획하는 여자를 어찌 안 좋아하겠어사랑스러움의 끝이 세상에 작은 친절이, 관심과 애정이 얼마나 중요한가아주이쁜영화한편잘봤음난 이 감독이 좋다슬픔을 가진 사랑스런 아멜리에비현실적인 화사함과 발랄함, 그리고 사탕같은 달콤함. 그리고 그 속에 숨어 있는 쓰디쓰고 우울한 우리네 인생들을 부드럽게 위로해준다.사운트 트랙이 어쩜 이리 영화랑 잘어울릴까."
